# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Tue, 07 Sep 2021 03:04:44 +0200
#
# IP	number of (black)lists
#
141.98.10.125	8
37.0.10.41	8
104.244.78.233	8
171.25.193.77	8
198.98.52.69	8
222.187.254.41	8
104.244.76.50	8
198.98.50.192	8
137.184.49.148	8
179.43.141.99	8
117.248.249.70	8
141.98.10.179	8
222.168.30.19	8
209.141.36.53	8
105.203.195.68	8
198.98.48.135	7
107.189.3.220	7
209.141.57.50	7
205.185.127.100	7
162.247.74.74	7
199.195.249.177	7
164.90.205.124	7
45.144.225.231	7
171.25.193.78	7
185.220.101.4	7
185.220.101.1	7
107.189.1.128	7
176.10.104.240	7
107.189.31.109	7
104.244.72.69	7
185.220.100.254	7
185.100.87.72	7
94.230.208.147	7
107.189.14.142	7
107.189.8.14	7
198.144.121.93	7
107.189.8.254	7
179.43.147.67	7
162.247.74.27	7
176.111.173.156	7
107.189.14.122	7
66.230.230.230	7
45.153.160.2	7
107.189.12.234	7
171.25.193.20	7
171.25.193.25	7
167.86.94.107	7
5.199.130.188	7
122.154.72.102	7
136.144.41.144	7
107.189.12.214	7
152.89.239.27	7
137.184.31.232	7
198.98.53.240	7
213.202.216.189	7
199.195.248.246	7
8.209.91.186	7
31.130.184.55	7
139.59.102.241	7
199.195.250.77	7
104.244.76.13	7
199.195.254.38	7
205.185.114.54	7
104.244.75.122	7
104.248.93.211	7
107.189.14.193	7
45.153.160.132	7
107.189.13.12	7
107.189.13.19	7
104.244.78.197	7
192.42.116.25	7
185.31.175.247	7
149.202.238.204	7
107.189.13.170	7
107.189.12.163	7
222.187.254.38	7
137.184.78.156	7
107.189.14.55	7
209.141.34.36	7
45.125.66.215	7
104.244.73.49	7
107.189.10.137	6
89.163.252.230	6
185.31.175.226	6
45.155.204.39	6
128.31.0.13	6
80.82.77.33	6
107.189.7.132	6
162.247.74.200	6
162.247.74.206	6
45.61.188.118	6
88.218.227.108	6
89.163.249.244	6
89.234.157.254	6
221.181.185.198	6
71.6.199.23	6
221.131.165.23	6
221.181.185.19	6
192.241.216.107	6
91.250.242.12	6
195.176.3.20	6
195.176.3.24	6
185.107.47.215	6
107.189.14.68	6
209.141.53.124	6
185.220.102.244	6
185.220.102.248	6
209.141.43.141	6
205.185.122.230	6
109.201.133.100	6
199.195.249.89	6
115.238.62.154	6
45.144.225.136	6
185.83.214.69	6
5.2.69.50	6
45.61.187.179	6
185.220.103.8	6
198.98.58.70	6
185.107.47.171	6
185.220.101.9	6
185.220.101.7	6
185.220.101.3	6
60.8.87.190	6
136.56.165.251	6
45.154.255.147	6
104.244.76.25	6
107.189.1.100	6
107.189.13.122	6
89.144.12.17	6
106.255.144.138	6
209.141.54.195	6
221.181.185.140	6
104.244.76.98	6
45.153.160.129	6
185.220.100.253	6
185.220.100.255	6
107.189.12.197	6
107.189.28.182	6
185.31.175.252	6
185.220.101.24	6
192.42.116.15	6
192.42.116.13	6
192.42.116.18	6
89.248.167.131	6
137.184.31.84	6
166.70.207.2	6
185.220.102.4	6
198.144.120.234	6
179.43.176.31	6
185.130.44.108	6
206.189.12.197	6
104.244.79.251	6
221.181.185.220	6
221.181.185.223	6
107.189.31.16	6
157.245.252.34	6
45.153.160.140	6
77.247.181.163	6
107.189.12.136	6
107.189.12.134	6
176.111.173.19	6
198.98.53.184	6
46.249.33.119	6
185.220.101.139	6
205.185.113.39	6
83.111.151.245	6
185.220.103.7	6
185.31.175.235	6
107.189.12.117	6
124.160.96.249	6
162.247.74.217	6
139.59.118.3	6
45.144.225.69	6
134.209.164.184	6
119.84.128.24	6
222.186.42.7	6
91.219.236.228	6
176.10.99.200	6
199.195.248.123	6
158.69.35.227	6
185.233.100.23	6
49.231.182.35	6
107.189.31.98	6
209.141.32.203	6
185.220.102.250	6
89.248.169.12	6
80.67.172.162	6
198.98.49.168	6
64.113.32.29	6
163.172.61.214	6
104.244.72.132	6
221.131.165.56	6
205.185.126.99	6
89.163.252.30	6
221.181.185.159	6
119.45.211.120	6
221.181.185.151	6
46.101.228.29	6
189.4.3.44	6
45.153.160.133	6
46.101.254.194	6
192.160.102.165	6
192.160.102.169	6
185.220.100.242	6
185.220.100.241	6
185.220.101.17	6
185.220.101.11	6
185.165.190.34	6
107.189.14.56	6
176.111.173.85	6
222.186.42.213	6
104.244.77.235	6
80.82.70.228	6
185.31.175.243	6
185.31.175.240	6
185.220.101.248	6
185.220.100.240	6
162.247.73.192	6
185.220.101.16	6
221.181.185.135	6
185.220.101.228	6
185.220.101.147	6
199.195.249.4	6
141.98.10.250	6
45.93.201.148	6
185.100.87.202	6
2.236.108.242	5
122.176.87.177	5
67.207.91.111	5
162.253.42.247	5
165.22.240.80	5
1.117.62.252	5
46.4.225.235	5
62.4.29.239	5
163.44.197.129	5
196.0.105.5	5
157.230.100.192	5
143.198.163.146	5
106.12.4.114	5
139.59.121.221	5
87.216.94.165	5
157.230.13.180	5
106.13.212.203	5
186.85.159.135	5
147.139.135.198	5
185.31.175.220	5
51.15.11.122	5
139.59.228.214	5
185.6.91.219	5
110.45.155.101	5
138.197.195.123	5
40.73.119.184	5
106.54.112.173	5
201.217.195.226	5
139.59.106.132	5
185.46.15.254	5
95.50.91.18	5
45.80.64.230	5
185.74.4.17	5
209.97.186.17	5
198.199.64.97	5
104.236.248.184	5
81.68.200.73	5
71.83.177.242	5
106.12.110.65	5
42.200.71.74	5
200.105.183.118	5
119.91.80.2	5
103.44.251.151	5
149.129.135.193	5
51.15.185.84	5
119.97.252.154	5
104.236.109.59	5
107.189.12.240	5
124.43.9.184	5
106.51.78.188	5
162.243.91.84	5
154.160.74.91	5
45.164.21.100	5
143.110.248.63	5
97.105.212.218	5
182.61.149.221	5
60.30.98.194	5
211.79.114.43	5
198.199.97.218	5
106.13.219.169	5
107.189.11.153	5
163.172.12.170	5
165.232.128.175	5
162.247.74.202	5
162.247.74.201	5
162.247.74.204	5
159.65.41.104	5
121.131.164.62	5
159.65.180.64	5
185.62.189.163	5
95.180.102.154	5
80.14.253.7	5
192.144.232.129	5
196.1.97.216	5
167.99.44.117	5
197.230.33.2	5
147.182.167.216	5
66.49.84.65	5
143.244.164.143	5
175.209.89.234	5
167.71.95.5	5
165.227.228.72	5
159.89.236.71	5
190.216.236.62	5
121.5.252.179	5
51.15.9.208	5
119.45.190.106	5
124.89.83.168	5
82.156.24.211	5
82.65.173.65	5
91.231.213.51	5
81.69.37.85	5
167.172.170.145	5
175.27.236.167	5
165.227.211.13	5
